====================================================================================================
ANALIZADOR LÉXICO PARA RUBY
====================================================================================================

Usuario: Angelo
Fecha: 26/11/2025 20:11:19
Archivo analizado: temp_codigo.rb
====================================================================================================

TOKENS RECONOCIDOS:
----------------------------------------------------------------------------------------------------
Tipo                      Valor                          Línea      Posición  
----------------------------------------------------------------------------------------------------
VARIABLE_LOCAL            import                         1          0         
VARIABLE_LOCAL            tkinter                        1          7         
VARIABLE_LOCAL            as                             1          15        
VARIABLE_LOCAL            tk                             1          18        
VARIABLE_LOCAL            from                           2          21        
VARIABLE_LOCAL            tkinter                        2          26        
VARIABLE_LOCAL            import                         2          34        
VARIABLE_LOCAL            ttk                            2          41        
COMA                      ,                              2          44        
VARIABLE_LOCAL            scrolledtext                   2          46        
COMA                      ,                              2          58        
VARIABLE_LOCAL            messagebox                     2          60        
VARIABLE_LOCAL            from                           3          71        
VARIABLE_LOCAL            datetime                       3          76        
VARIABLE_LOCAL            import                         3          85        
VARIABLE_LOCAL            datetime                       3          92        
VARIABLE_LOCAL            import                         4          101       
VARIABLE_LOCAL            os                             4          108       
VARIABLE_LOCAL            import                         5          111       
VARIABLE_LOCAL            sys                            5          118       
VARIABLE_LOCAL            from                           8          151       
VARIABLE_LOCAL            lexico                         8          156       
VARIABLE_LOCAL            import                         8          163       
VARIABLE_LOCAL            analizar_archivo               8          170       
VARIABLE_LOCAL            as                             8          187       
VARIABLE_LOCAL            analizar_lexico                8          190       
VARIABLE_LOCAL            from                           9          206       
VARIABLE_LOCAL            sintactico                     9          211       
VARIABLE_LOCAL            import                         9          222       
VARIABLE_LOCAL            analizar_sintaxis              9          229       
VARIABLE_LOCAL            import                         10         247       
VARIABLE_LOCAL            semantico                      10         254       
CLASS                     class                          12         265       
CONSTANTE                 AnalizadorRubyGUI              12         271       
DOS_PUNTOS                :                              12         288       
DEF                       def                            13         294       
VARIABLE_LOCAL            __init__                       13         298       
PARENTESIS_IZQ            (                              13         306       
VARIABLE_LOCAL            self                           13         307       
COMA                      ,                              13         311       
VARIABLE_LOCAL            root                           13         313       
PARENTESIS_DER            )                              13         317       
DOS_PUNTOS                :                              13         318       
VARIABLE_LOCAL            self                           14         328       
PUNTO                     .                              14         332       
VARIABLE_LOCAL            root                           14         333       
ASIGNACION                =                              14         338       
VARIABLE_LOCAL            root                           14         340       
VARIABLE_LOCAL            self                           15         353       
PUNTO                     .                              15         357       
VARIABLE_LOCAL            root                           15         358       
PUNTO                     .                              15         362       
VARIABLE_LOCAL            title                          15         363       
PARENTESIS_IZQ            (                              15         368       
STRING                    Analizador Ruby - Análisis Léxico, Sintáctico y Semántico 15         369       
PARENTESIS_DER            )                              15         428       
VARIABLE_LOCAL            self                           16         438       
PUNTO                     .                              16         442       
VARIABLE_LOCAL            root                           16         443       
PUNTO                     .                              16         447       
VARIABLE_LOCAL            geometry                       16         448       
PARENTESIS_IZQ            (                              16         456       
STRING                    1400x800                       16         457       
PARENTESIS_DER            )                              16         467       
VARIABLE_LOCAL            self                           17         477       
PUNTO                     .                              17         481       
VARIABLE_LOCAL            root                           17         482       
PUNTO                     .                              17         486       
VARIABLE_LOCAL            configure                      17         487       
PARENTESIS_IZQ            (                              17         496       
VARIABLE_LOCAL            bg                             17         497       
ASIGNACION                =                              17         499       
STRING                    #1e1e2e                        17         500       
PARENTESIS_DER            )                              17         509       
VARIABLE_LOCAL            self                           20         548       
PUNTO                     .                              20         552       
VARIABLE_LOCAL            errores_lexico                 20         553       
ASIGNACION                =                              20         568       
INTEGER                   0                              20         570       
VARIABLE_LOCAL            self                           21         580       
PUNTO                     .                              21         584       
VARIABLE_LOCAL            errores_sintactico             21         585       
ASIGNACION                =                              21         604       
INTEGER                   0                              21         606       
VARIABLE_LOCAL            self                           22         616       
PUNTO                     .                              22         620       
VARIABLE_LOCAL            errores_semantico              22         621       
ASIGNACION                =                              22         639       
INTEGER                   0                              22         641       
VARIABLE_LOCAL            self                           23         651       
PUNTO                     .                              23         655       
VARIABLE_LOCAL            exito                          23         656       
ASIGNACION                =                              23         662       
CONSTANTE                 False                          23         664       
VARIABLE_LOCAL            self                           26         712       
PUNTO                     .                              26         716       
VARIABLE_LOCAL            crear_header                   26         717       
PARENTESIS_IZQ            (                              26         729       
PARENTESIS_DER            )                              26         730       
VARIABLE_LOCAL            self                           27         740       
PUNTO                     .                              27         744       
VARIABLE_LOCAL            crear_main_container           27         745       
PARENTESIS_IZQ            (                              27         765       
PARENTESIS_DER            )                              27         766       
VARIABLE_LOCAL            self                           28         776       
PUNTO                     .                              28         780       
VARIABLE_LOCAL            crear_footer                   28         781       
PARENTESIS_IZQ            (                              28         793       
PARENTESIS_DER            )                              28         794       
DEF                       def                            30         809       
VARIABLE_LOCAL            crear_header                   30         813       
PARENTESIS_IZQ            (                              30         825       
VARIABLE_LOCAL            self                           30         826       
PARENTESIS_DER            )                              30         830       
DOS_PUNTOS                :                              30         831       
STRING                                                   31         841       
STRING                    Crear el encabezado de la aplicación 31         843       
STRING                                                   31         881       
VARIABLE_LOCAL            header                         32         892       
ASIGNACION                =                              32         899       
VARIABLE_LOCAL            tk                             32         901       
PUNTO                     .                              32         903       
CONSTANTE                 Frame                          32         904       
PARENTESIS_IZQ            (                              32         909       
VARIABLE_LOCAL            self                           32         910       
PUNTO                     .                              32         914       
VARIABLE_LOCAL            root                           32         915       
COMA                      ,                              32         919       
VARIABLE_LOCAL            bg                             32         921       
ASIGNACION                =                              32         923       
STRING                    #2d2d44                        32         924       
COMA                      ,                              32         933       
VARIABLE_LOCAL            height                         32         935       
ASIGNACION                =                              32         941       
INTEGER                   80                             32         942       
PARENTESIS_DER            )                              32         944       
VARIABLE_LOCAL            header                         33         954       
PUNTO                     .                              33         960       
VARIABLE_LOCAL            pack                           33         961       
PARENTESIS_IZQ            (                              33         965       
VARIABLE_LOCAL            fill                           33         966       
ASIGNACION                =                              33         970       
STRING                    x                              33         971       
COMA                      ,                              33         974       
VARIABLE_LOCAL            padx                           33         976       
ASIGNACION                =                              33         980       
INTEGER                   10                             33         981       
COMA                      ,                              33         983       
VARIABLE_LOCAL            pady                           33         985       
ASIGNACION                =                              33         989       
PARENTESIS_IZQ            (                              33         990       
INTEGER                   10                             33         991       
COMA                      ,                              33         993       
INTEGER                   0                              33         995       
PARENTESIS_DER            )                              33         996       
PARENTESIS_DER            )                              33         997       
VARIABLE_LOCAL            header                         34         1007      
PUNTO                     .                              34         1013      
VARIABLE_LOCAL            pack_propagate                 34         1014      
PARENTESIS_IZQ            (                              34         1028      
CONSTANTE                 False                          34         1029      
PARENTESIS_DER            )                              34         1034      
VARIABLE_LOCAL            titulo_frame                   37         1070      
ASIGNACION                =                              37         1083      
VARIABLE_LOCAL            tk                             37         1085      
PUNTO                     .                              37         1087      
CONSTANTE                 Frame                          37         1088      
PARENTESIS_IZQ            (                              37         1093      
VARIABLE_LOCAL            header                         37         1094      
COMA                      ,                              37         1100      
VARIABLE_LOCAL            bg                             37         1102      
ASIGNACION                =                              37         1104      
STRING                    #2d2d44                        37         1105      
PARENTESIS_DER            )                              37         1114      
VARIABLE_LOCAL            titulo_frame                   38         1124      
PUNTO                     .                              38         1136      
VARIABLE_LOCAL            pack                           38         1137      
PARENTESIS_IZQ            (                              38         1141      
VARIABLE_LOCAL            side                           38         1142      
ASIGNACION                =                              38         1146      
STRING                    left                           38         1147      
COMA                      ,                              38         1153      
VARIABLE_LOCAL            padx                           38         1155      
ASIGNACION                =                              38         1159      
INTEGER                   20                             38         1160      
COMA                      ,                              38         1162      
VARIABLE_LOCAL            pady                           38         1164      
ASIGNACION                =                              38         1168      
INTEGER                   10                             38         1169      
PARENTESIS_DER            )                              38         1171      
VARIABLE_LOCAL            tk                             40         1190      
PUNTO                     .                              40         1192      
CONSTANTE                 Label                          40         1193      
PARENTESIS_IZQ            (                              40         1198      
VARIABLE_LOCAL            titulo_frame                   41         1212      
