====================================================================================================
ANALIZADOR LÉXICO PARA RUBY
====================================================================================================

Usuario: JoseM0lina
Fecha: 17/11/2025 23:06:32
Archivo analizado: Algorithms/Algorithm_JoseMarin_Semantico.rb
====================================================================================================

TOKENS RECONOCIDOS:
----------------------------------------------------------------------------------------------------
Tipo                      Valor                          Línea      Posición  
----------------------------------------------------------------------------------------------------
COMENTARIO_LINEA          # ============================================================================ 1          0         
COMENTARIO_LINEA          # ALGORITMO 3 - Sistema de Gestión de Calificaciones Estudiantiles 2          79        
COMENTARIO_LINEA          # Tester: José Marín (@JoseM0lina) 3          146       
COMENTARIO_LINEA          # Descripción: Sistema para procesar calificaciones, calcular estadísticas 4          181       
COMENTARIO_LINEA          #              y generar reportes académicos. Contiene errores semánticos. 5          256       
COMENTARIO_LINEA          # ============================================================================ 6          331       
COMENTARIO_LINEA          # Constantes del sistema educativo 8          411       
CONSTANTE                 NOTA_MAXIMA                    9          446       
ASIGNACION                =                              9          458       
INTEGER                   100                            9          460       
CONSTANTE                 NOTA_MINIMA                    10         464       
ASIGNACION                =                              10         476       
INTEGER                   0                              10         478       
CONSTANTE                 NOTA_APROBATORIA               11         480       
ASIGNACION                =                              11         497       
INTEGER                   60                             11         499       
CONSTANTE                 CREDITOS_CARRERA               12         502       
ASIGNACION                =                              12         519       
INTEGER                   240                            12         521       
COMENTARIO_LINEA          # Variables globales           14         526       
VARIABLE_GLOBAL           $total_estudiantes             15         547       
ASIGNACION                =                              15         566       
INTEGER                   0                              15         568       
VARIABLE_GLOBAL           $promedio_general              16         570       
ASIGNACION                =                              16         588       
INTEGER                   0                              16         590       
VARIABLE_GLOBAL           $aprobados                     17         592       
ASIGNACION                =                              17         603       
INTEGER                   0                              17         605       
COMENTARIO_LINEA          # ERROR: Modificación de constante 19         608       
CONSTANTE                 NOTA_MAXIMA                    20         643       
ASIGNACION                =                              20         655       
INTEGER                   110                            20         657       
COMENTARIO_LINEA          # Módulo de utilidades matemáticas 22         662       
MODULE                    module                         23         697       
CONSTANTE                 Estadisticas                   23         704       
DEF                       def                            24         719       
VARIABLE_LOCAL            calcular_promedio              24         723       
PARENTESIS_IZQ            (                              24         740       
VARIABLE_LOCAL            calificaciones                 24         741       
PARENTESIS_DER            )                              24         755       
VARIABLE_LOCAL            suma                           25         761       
ASIGNACION                =                              25         766       
INTEGER                   0                              25         768       
VARIABLE_LOCAL            cantidad                       26         774       
ASIGNACION                =                              26         783       
INTEGER                   0                              26         785       
FOR                       for                            28         796       
VARIABLE_LOCAL            nota                           28         800       
IN                        in                             28         805       
VARIABLE_LOCAL            calificaciones                 28         808       
VARIABLE_LOCAL            suma                           29         829       
ASIGNACION                =                              29         834       
VARIABLE_LOCAL            suma                           29         836       
SUMA                      +                              29         841       
VARIABLE_LOCAL            nota                           29         843       
VARIABLE_LOCAL            cantidad                       30         854       
ASIGNACION                =                              30         863       
VARIABLE_LOCAL            cantidad                       30         865       
SUMA                      +                              30         874       
INTEGER                   1                              30         876       
END                       end                            31         882       
VARIABLE_LOCAL            promedio                       33         895       
ASIGNACION                =                              33         904       
VARIABLE_LOCAL            suma                           33         906       
DIVISION                  /                              33         911       
VARIABLE_LOCAL            cantidad                       33         913       
RETURN                    return                         34         926       
VARIABLE_LOCAL            promedio                       34         933       
END                       end                            35         944       
DEF                       def                            37         953       
VARIABLE_LOCAL            calcular_desviacion            37         957       
PARENTESIS_IZQ            (                              37         976       
VARIABLE_LOCAL            calificaciones                 37         977       
COMA                      ,                              37         991       
VARIABLE_LOCAL            promedio                       37         993       
PARENTESIS_DER            )                              37         1001      
VARIABLE_LOCAL            suma_cuadrados                 38         1007      
ASIGNACION                =                              38         1022      
INTEGER                   0                              38         1024      
VARIABLE_LOCAL            cantidad                       39         1030      
ASIGNACION                =                              39         1039      
INTEGER                   0                              39         1041      
FOR                       for                            41         1052      
VARIABLE_LOCAL            nota                           41         1056      
IN                        in                             41         1061      
VARIABLE_LOCAL            calificaciones                 41         1064      
VARIABLE_LOCAL            diferencia                     42         1085      
ASIGNACION                =                              42         1096      
VARIABLE_LOCAL            nota                           42         1098      
RESTA                     -                              42         1103      
VARIABLE_LOCAL            promedio                       42         1105      
VARIABLE_LOCAL            suma_cuadrados                 43         1120      
ASIGNACION                =                              43         1135      
VARIABLE_LOCAL            suma_cuadrados                 43         1137      
SUMA                      +                              43         1152      
VARIABLE_LOCAL            diferencia                     43         1154      
MULTIPLICACION            *                              43         1165      
VARIABLE_LOCAL            diferencia                     43         1167      
VARIABLE_LOCAL            cantidad                       44         1184      
ASIGNACION                =                              44         1193      
VARIABLE_LOCAL            cantidad                       44         1195      
SUMA                      +                              44         1204      
INTEGER                   1                              44         1206      
END                       end                            45         1212      
COMENTARIO_LINEA          # ERROR: División por cero     47         1225      
VARIABLE_LOCAL            varianza                       48         1256      
ASIGNACION                =                              48         1265      
VARIABLE_LOCAL            suma_cuadrados                 48         1267      
DIVISION                  /                              48         1282      
INTEGER                   0                              48         1284      
RETURN                    return                         50         1295      
VARIABLE_LOCAL            varianza                       50         1302      
END                       end                            51         1313      
END                       end                            52         1317      
COMENTARIO_LINEA          # Clase Estudiante             54         1322      
CLASS                     class                          55         1341      
CONSTANTE                 Estudiante                     55         1347      
DEF                       def                            56         1360      
VARIABLE_LOCAL            initialize                     56         1364      
PARENTESIS_IZQ            (                              56         1374      
VARIABLE_LOCAL            nombre                         56         1375      
COMA                      ,                              56         1381      
VARIABLE_LOCAL            codigo                         56         1383      
COMA                      ,                              56         1389      
VARIABLE_LOCAL            carrera                        56         1391      
PARENTESIS_DER            )                              56         1398      
VARIABLE_INSTANCIA        @nombre                        57         1404      
ASIGNACION                =                              57         1412      
VARIABLE_LOCAL            nombre                         57         1414      
VARIABLE_INSTANCIA        @codigo                        58         1425      
ASIGNACION                =                              58         1433      
VARIABLE_LOCAL            codigo                         58         1435      
VARIABLE_INSTANCIA        @carrera                       59         1446      
ASIGNACION                =                              59         1455      
VARIABLE_LOCAL            carrera                        59         1457      
VARIABLE_INSTANCIA        @calificaciones                60         1469      
ASIGNACION                =                              60         1485      
CORCHETE_IZQ              [                              60         1487      
CORCHETE_DER              ]                              60         1488      
VARIABLE_INSTANCIA        @creditos_acumulados           61         1494      
ASIGNACION                =                              61         1515      
INTEGER                   0                              61         1517      
END                       end                            62         1521      
DEF                       def                            64         1530      
VARIABLE_LOCAL            agregar_calificacion           64         1534      
PARENTESIS_IZQ            (                              64         1554      
VARIABLE_LOCAL            materia                        64         1555      
COMA                      ,                              64         1562      
VARIABLE_LOCAL            nota                           64         1564      
COMA                      ,                              64         1568      
VARIABLE_LOCAL            creditos                       64         1570      
PARENTESIS_DER            )                              64         1578      
IF                        if                             65         1584      
VARIABLE_LOCAL            nota                           65         1587      
MAYOR_IGUAL               >=                             65         1592      
CONSTANTE                 NOTA_MINIMA                    65         1595      
AND                       &&                             65         1607      
VARIABLE_LOCAL            nota                           65         1610      
MENOR_IGUAL               <=                             65         1615      
CONSTANTE                 NOTA_MAXIMA                    65         1618      
VARIABLE_LOCAL            calificacion                   66         1636      
ASIGNACION                =                              66         1649      
LLAVE_IZQ                 {                              66         1651      
VARIABLE_LOCAL            materia                        67         1661      
DOS_PUNTOS                :                              67         1668      
VARIABLE_LOCAL            materia                        67         1670      
COMA                      ,                              67         1677      
VARIABLE_LOCAL            nota                           68         1687      
DOS_PUNTOS                :                              68         1691      
VARIABLE_LOCAL            nota                           68         1693      
COMA                      ,                              68         1697      
VARIABLE_LOCAL            creditos                       69         1707      
DOS_PUNTOS                :                              69         1715      
VARIABLE_LOCAL            creditos                       69         1717      
LLAVE_DER                 }                              70         1732      
VARIABLE_INSTANCIA        @calificaciones                71         1740      
ASIGNACION                =                              71         1756      
