====================================================================================================
ANALIZADOR LÉXICO PARA RUBY
====================================================================================================

Usuario: JoseM0lina
Fecha: 26/11/2025 21:53:30
Archivo analizado: Algorithms/Algorithm_AngeloZurita_Semantico.rb
====================================================================================================

TOKENS RECONOCIDOS:
----------------------------------------------------------------------------------------------------
Tipo                      Valor                          Línea      Posición  
----------------------------------------------------------------------------------------------------
COMENTARIO_LINEA          # ============================================================================ 1          0         
COMENTARIO_LINEA          # ALGORITMO - Sistema de Gestión de Inventario de Librería 2          79        
COMENTARIO_LINEA          # Tester: Angelo Zurita (@aszurita) 3          138       
COMENTARIO_LINEA          # Descripción: Sistema para gestionar inventario, ventas y estadísticas 4          174       
COMENTARIO_LINEA          #              de una librería. Contiene errores semánticos intencionales. 5          246       
COMENTARIO_LINEA          # ============================================================================ 6          321       
COMENTARIO_LINEA          # Variables globales y constantes 8          401       
CONSTANTE                 MAX_LIBROS                     9          435       
ASIGNACION                =                              9          446       
INTEGER                   100                            9          448       
CONSTANTE                 MIN_PRECIO                     10         452       
ASIGNACION                =                              10         463       
INTEGER                   5                              10         465       
CONSTANTE                 DESCUENTO_ESTUDIANTE           11         467       
ASIGNACION                =                              11         488       
FLOAT                     0.15                           11         490       
VARIABLE_GLOBAL           $total_ventas                  12         495       
ASIGNACION                =                              12         509       
INTEGER                   0                              12         511       
VARIABLE_GLOBAL           $libros_vendidos               13         513       
ASIGNACION                =                              13         530       
INTEGER                   0                              13         532       
COMENTARIO_LINEA          # ERROR SEMÁNTICO: Modificación de constante 15         535       
CONSTANTE                 MAX_LIBROS                     16         580       
ASIGNACION                =                              16         591       
INTEGER                   150                            16         593       
COMENTARIO_LINEA          # Clase Libro                  18         598       
CLASS                     class                          19         612       
CONSTANTE                 Libro                          19         618       
DEF                       def                            20         626       
VARIABLE_LOCAL            initialize                     20         630       
PARENTESIS_IZQ            (                              20         640       
VARIABLE_LOCAL            titulo                         20         641       
COMA                      ,                              20         647       
VARIABLE_LOCAL            autor                          20         649       
COMA                      ,                              20         654       
VARIABLE_LOCAL            precio                         20         656       
COMA                      ,                              20         662       
VARIABLE_LOCAL            cantidad                       20         664       
PARENTESIS_DER            )                              20         672       
VARIABLE_INSTANCIA        @titulo                        21         678       
ASIGNACION                =                              21         686       
VARIABLE_LOCAL            titulo                         21         688       
VARIABLE_INSTANCIA        @autor                         22         699       
ASIGNACION                =                              22         706       
VARIABLE_LOCAL            autor                          22         708       
VARIABLE_INSTANCIA        @precio                        23         718       
ASIGNACION                =                              23         726       
VARIABLE_LOCAL            precio                         23         728       
VARIABLE_INSTANCIA        @cantidad                      24         739       
ASIGNACION                =                              24         749       
VARIABLE_LOCAL            cantidad                       24         751       
VARIABLE_INSTANCIA        @ventas                        25         764       
ASIGNACION                =                              25         772       
INTEGER                   0                              25         774       
END                       end                            26         778       
DEF                       def                            28         785       
VARIABLE_LOCAL            calcular_valor_inventario      28         789       
PARENTESIS_IZQ            (                              28         814       
PARENTESIS_DER            )                              28         815       
VARIABLE_LOCAL            valor                          29         821       
ASIGNACION                =                              29         827       
VARIABLE_INSTANCIA        @precio                        29         829       
MULTIPLICACION            *                              29         837       
VARIABLE_INSTANCIA        @cantidad                      29         839       
RETURN                    return                         30         853       
VARIABLE_LOCAL            valor                          30         860       
END                       end                            31         868       
DEF                       def                            33         875       
VARIABLE_LOCAL            aplicar_descuento              33         879       
PARENTESIS_IZQ            (                              33         896       
VARIABLE_LOCAL            porcentaje                     33         897       
PARENTESIS_DER            )                              33         907       
COMENTARIO_LINEA          # ERROR SEMÁNTICO: Operación incompatible (string - float) 34         913       
VARIABLE_LOCAL            descuento                      35         976       
ASIGNACION                =                              35         986       
STRING                    precio                         35         988       
RESTA                     -                              35         997       
VARIABLE_LOCAL            porcentaje                     35         999       
VARIABLE_LOCAL            precio_nuevo                   36         1014      
ASIGNACION                =                              36         1027      
VARIABLE_INSTANCIA        @precio                        36         1029      
MULTIPLICACION            *                              36         1037      
VARIABLE_LOCAL            descuento                      36         1039      
RETURN                    return                         37         1053      
VARIABLE_LOCAL            precio_nuevo                   37         1060      
END                       end                            38         1075      
DEF                       def                            40         1082      
VARIABLE_LOCAL            vender                         40         1086      
PARENTESIS_IZQ            (                              40         1092      
VARIABLE_LOCAL            cantidad_venta                 40         1093      
PARENTESIS_DER            )                              40         1107      
IF                        if                             41         1113      
VARIABLE_LOCAL            cantidad_venta                 41         1116      
MENOR_IGUAL               <=                             41         1131      
VARIABLE_INSTANCIA        @cantidad                      41         1134      
VARIABLE_INSTANCIA        @cantidad                      42         1150      
RESTA_ASIG                -=                             42         1160      
VARIABLE_LOCAL            cantidad_venta                 42         1163      
VARIABLE_INSTANCIA        @ventas                        43         1184      
SUMA_ASIG                 +=                             43         1192      
VARIABLE_LOCAL            cantidad_venta                 43         1195      
RETURN                    return                         44         1216      
TRUE                      true                           44         1223      
ELSE                      else                           45         1232      
RETURN                    return                         46         1243      
FALSE                     false                          46         1250      
END                       end                            47         1260      
END                       end                            48         1266      
DEF                       def                            50         1273      
VARIABLE_LOCAL            necesita_reabastecimiento      50         1277      
PARENTESIS_IZQ            (                              50         1302      
PARENTESIS_DER            )                              50         1303      
COMENTARIO_LINEA          # ERROR SEMÁNTICO: Condición con string (warning) 51         1309      
IF                        if                             52         1363      
VARIABLE_INSTANCIA        @titulo                        52         1366      
VARIABLE_LOCAL            limite                         53         1380      
ASIGNACION                =                              53         1387      
INTEGER                   10                             53         1389      
RETURN                    return                         54         1398      
VARIABLE_INSTANCIA        @cantidad                      54         1405      
MENOR                     <                              54         1415      
VARIABLE_LOCAL            limite                         54         1417      
END                       end                            55         1428      
END                       end                            56         1434      
END                       end                            57         1438      
COMENTARIO_LINEA          # Funciones auxiliares         59         1443      
DEF                       def                            60         1466      
VARIABLE_LOCAL            validar_precio                 60         1470      
PARENTESIS_IZQ            (                              60         1484      
VARIABLE_LOCAL            precio                         60         1485      
PARENTESIS_DER            )                              60         1491      
COMENTARIO_LINEA          # ERROR SEMÁNTICO: Variable no declarada 61         1495      
VARIABLE_LOCAL            valido                         62         1538      
ASIGNACION                =                              62         1545      
VARIABLE_LOCAL            precio                         62         1547      
MAYOR_IGUAL               >=                             62         1554      
CONSTANTE                 MIN_PRECIO                     62         1557      
AND                       &&                             62         1568      
VARIABLE_LOCAL            precio                         62         1571      
MENOR_IGUAL               <=                             62         1578      
VARIABLE_LOCAL            precio_maximo                  62         1581      
RETURN                    return                         63         1597      
VARIABLE_LOCAL            valido                         63         1604      
END                       end                            64         1611      
DEF                       def                            66         1616      
VARIABLE_LOCAL            calcular_total_inventario      66         1620      
PARENTESIS_IZQ            (                              66         1645      
VARIABLE_LOCAL            libros                         66         1646      
PARENTESIS_DER            )                              66         1652      
VARIABLE_LOCAL            total                          67         1656      
ASIGNACION                =                              67         1662      
INTEGER                   0                              67         1664      
VARIABLE_LOCAL            contador                       68         1668      
ASIGNACION                =                              68         1677      
INTEGER                   0                              68         1679      
FOR                       for                            70         1684      
VARIABLE_LOCAL            libro                          70         1688      
IN                        in                             70         1694      
VARIABLE_LOCAL            libros                         70         1697      
VARIABLE_LOCAL            total                          71         1708      
SUMA_ASIG                 +=                             71         1714      
VARIABLE_LOCAL            libro                          71         1717      
VARIABLE_LOCAL            contador                       72         1727      
SUMA_ASIG                 +=                             72         1736      
INTEGER                   1                              72         1739      
END                       end                            73         1743      
COMENTARIO_LINEA          # ERROR SEMÁNTICO: División por cero 75         1750      
VARIABLE_LOCAL            promedio                       76         1789      
ASIGNACION                =                              76         1798      
VARIABLE_LOCAL            total                          76         1800      
DIVISION                  /                              76         1806      
INTEGER                   0                              76         1808      
RETURN                    return                         78         1813      
VARIABLE_LOCAL            total                          78         1820      
END                       end                            79         1826      
